編號,原文,臺灣用語,大陸用語,其他用語,
191,Backus-Naur formalism,巴科斯諾爾形式論,巴科斯－諾爾論,,
192,backward attribute,反向屬性,反向屬性,,
193,backward branch,反向分支,反向分支,,
194,backward branching,反向分支,反向分支,,
195,backward busy,反向忙線,反向占線,,
196,backward busying signal,反向忙線信號,反向占線信號,,
197,backward call indicator,反向呼叫指示器,反向呼叫指示器,,
198,backward chained reasoning,反向鍊接推理,反向推理 ,,
199,backward chaining,反向鍊接,反向鏈接,,
200,backward chaining control,反向鍊接控制,反向鏈接控制,,
201,backward chaining manner,反向鍊接方式,,,
202,backward chaining problem solver,反向鍊接問題解答器,反向鏈接問題解決機,,
203,backward channel,反向通道,反向信道 ,,
204,backward conditional probabilities,反向條件機率,,,
205,backward connection,反向連接,反向聯接,,
206,backward counter,反向計數器,減法計數器，反向計數器,,
207,backward crosstalk,反向串音,反向串擾,,
208,backward current,反向電流,反向電流,,
209,backward difference,反向差分,後向差分，後退差值,,
210,backward difference method,反向差分法,後向差分法，後退差值法,,
211,backward difference operator,反向差分運算子,後向算子,,
212,backward differentiation method,反向微分法,後向微分法,,
213,backward diode,反向二極體,反向二極體,,
214,backward elimination,反向消除,,,
215,backward error,反向誤差,後向誤差,,
216,backward error analysis,反向誤差分析,後向誤差分析,,
217,backward error correction,反向誤差校正,,,
218,backward error recovery,反向誤差復原,,,
219,backward explicit congestion notification,反向顯式擁塞通知,后向顯式擁塞通知 ,,
220,backward file,反向檔案,反向文件,,
221,backward file recovery,反向檔案復原,,,
222,backward finite difference,反向有限差分,,,
223,backward flow problem,反向流問題,逆流問題,,
224,backward impedance,反向阻抗,反向阻抗,,
225,backward interpolation,反向內插,後向插值,,
226,backward ionospheric scatter,反向電離層散射,,,
227,backward LAN channel,反向區域網路通道,反向局域網信道 ,,
228,backward learning,反向學習,反向學習,,
229,backward link,反向鏈接,反向鏈結,,
230,backward link field,反向鏈接欄,反向連接欄（字段）,,
231,backward link pointer,反向鏈接指標,,,
232,backward lobe,反向瓣,,,
233,backward magnetic tape,反向磁帶,,,
234,backward masking,反向遮罩,反向掩蔽,,
235,backward option,反向選項,反向選擇，後向選擇,,
236,backward path,反向路徑,回程通路,,
237,backward pointer,反向指標,,,
238,backward polyphase sort,反向多相分類,,,
239,backward processing,反向處理,,,
240,backward production system,反向生成系統,逆向產生式系統,,
241,backward propagation ionospheric scatter,反向傳播電離層散射,,,
242,backward pruning procedure,反向修剪程序,,,
243,backward reachability,反向可達性,向后可達性 ,,
244,backward read,反向讀,反讀 ,,
245,backward reading,反向讀出,反讀，反向讀出,,
246,backward reasoning,反向推理,反向推理 ,,
247,backward recovery,反向恢復,反向恢復 ,,
248,backward reference,向後引用,向後引用,,
249,backward robot problem solving system,反向機器人問題求解系統,,,
250,backward rule,反向規則,反向規則,,
251,backward scan technique,反向掃瞄技術,反向掃描法,,
252,backward scheduling,反向排程,,,
253,backward search;reverse search,反向搜索,反向搜索,,
254,backward shift operator,反向移位運算子,後向移位算子,,
255,backward signal,反向信號,反向信號,,
256,backward signaling path,反向發信號路徑,回程信號通路,,
257,backward supervision,反向監督,,,
258,backward tracing,反向追蹤,,,
259,backward transfer,反向轉移,反向轉移,,
260,backward voltage,反向電壓,反向電壓,,
261,backward wave amplifier	,反向波放大器,,,
262,backward	,反向；向後,,,
263,bacteria,細箘程式,細菌程式,,
264,bacterium,細菌,細菌 ,,
265,bad block,壞塊,壞塊,,
266,bad block table,壞塊表（網）,壞塊表,,
267,bad break,不良暫停,,,
268,bad copy,模糊不清的稿件,,,
269,bad debt,呆帳,呆帳,,
270,bad letter,模糊字母,,,
271,bad machine	,壞機器；故障的機器,,,
272,bad sector error,壞扇區錯誤,,,
273,bad sectoring,壞分區,壞扇區法 ,,
274,bad separator,不良分隔符,,,
275,bad track,不良磁軌,,,
276,bad type syntax,不良型式語法,,,
277,badge,識別證,象徵，標誌,,
