編號,原文,臺灣用語,大陸用語,其他用語,
212,efficient syntax,有效語法,,,
213,efficient typesetting,有效排版,,,
214,effort,工作量,,,
215,effort measure,工作量測度,,,
216,E-format,E格式,,,
217,EFTS,電子轉帳系統,電子資金轉賬系統 ,,
218,EGA,彩色圖形適配器,增強[彩色]圖形適配器 ,,
219,egoless programming,無自我程式設計,無我程序設計 ,,
220,EIA communication adapter,電子工業協會通訊配接器,,,
221,EIA interface,電子工業協會介面,,,
222,EIA interface standard RS-232 B or C,電子工業協會介面標準RS－232 B或C,,,
223,EIAJ standards,日本電子工業協會標準,,,
224,Eiffel,Eiffel語言,Eiffel語言 ,,
225,eigenfrequency,特徵頻率,,,
226,eigenfunction,特徵函數,,,
227,eigenvalue,特徵值；特性值,,,
228,eigenvector,特徵向量,,,
229,eight bit adder,八位元加法器,,,
230,eight place,八位,,,
231,eight queens problem,八皇后問題,八皇后問題 ,,
232,eight-bit,八位元,,,
233,eight-bit byte,八位元位元組,,,
234,eight-bit data path,八位元資料路徑,,,
235,eight-bit system,八位元系統,,,
236,eight-digit binary number,八位元二進制數,,,
237,eight-digit number,八位數,,,
238,eight-level code,八級碼,,,
239,eight-level paper tape,八級紙帶,,,
240,eighty column card,八十行卡片,,,
241,eighty column puncher,八十行打孔機,,,
242,Eihill,艾你希你資訊檢索軟體,,,
243,EIS,經濟資訊系統,經濟信息系統 ,,
244,EIS,主管資訊系統,經理信息系統 ,,
245,EISA,擴充的工業標準結構,擴充的工業標准結構 ,,
246,EISA bus,擴充的工業標準結構匯流排,擴充的工業標准結構總線 ,,
247,either symbol,任一符號,,,
248,either way communication,任一方向通訊,,,
249,either way operation,任一方向操作,,,
250,either/or circuit,或電路,,,
251,EJB,企業Java Bean,企業Java組件 ,,
252,eject,彈出,,,
253,eject key,彈出鍵,,,
254,ejected,跳出,,,
255,ejection,彈出,,,
256,EKG transmission,心電圖傳輸,,,
257,elaborate collaterally,並行加工,,,
258,elaboration,加工,,,
259,elapsed CPU execution time,中央處理機執行經過的時間,,,
