編號,原文,臺灣用語,大陸用語,其他用語,
248,keyboard components layout,鍵盤組件布置,,,
249,keyboard computer,鍵盤計算機,,,
250,keyboard computer printer,計算機的鍵盤列表機,,,
251,keyboard console,鍵盤控制台,,,
252,keyboard contact,鍵盤接觸,,,
253,keyboard contact bounce,鍵盤接觸彈跳,,,
254,keyboard control key,鍵盤控制鍵,,,
255,keyboard control process,鍵盤控制處理,,,
256,keyboard control unit,鍵盤控制單元,,,
257,keyboard data entry,鍵盤資料登錄,,,
258,keyboard data recorder,鍵盤資料記錄器,,,
259,keyboard definition,鍵盤定義,,,
260,keyboard display console,鍵盤顯示控制台,,,
261,keyboard display station,鍵盤顯示站,,,
262,keyboard display,鍵盤顯示,,,
263,keyboard editing display station,鍵盤編輯顯示站,,,
264,keyboard encoder,鍵盤編碼器,,,
265,keyboard entry and inquiry,鍵盤登錄和詢問,,,
266,keyboard entry method,鍵盤登錄方法,,,
267,keyboard entry,鍵盤登錄,,,
268,keyboard equivalent,等效鍵盤,,,
269,keyboard features,鍵盤特徵,,,
270,keyboard function key,鍵盤功能鍵,,,
271,keyboard input command,鍵盤輸入命令,,,
272,keyboard input matrix,鍵盤輸入矩陣,,,
273,keyboard input printout,鍵盤輸入印出,,,
274,keyboard input simulation,鍵盤輸入模擬,,,
275,keyboard inquiry,鍵盤詢問,,,
276,keyboard interaction,鍵盤互談,,,
277,keyboard interface,鍵盤介面,,,
278,keyboard interface control unit,鍵盤介面控制單元,,,
279,keyboard interface unit,鍵盤介面單元,,,
280,keyboard interrupt vector,鍵盤中斷向量,,,
281,keyboard jack,鍵盤插座,,,
282,keyboard layout,鍵盤布局,鍵位布局 ,,
283,keyboard listener,鍵盤收聽器,,,
284,keyboard lock message field,鍵盤鎖定訊息欄位,,,
285,keyboard lock state,鍵盤鎖定狀態,,,
286,keyboard lockout,鍵盤鎖定,,,
287,keyboard monitor command,鍵盤監視器命令,,,
288,keyboard monitor,鍵盤監視器,,,
289,keyboard operating system,鍵盤作業系統,,,
290,keyboard operation,鍵盤操作,,,
291,keyboard operator,鍵盤操作員,,,
292,keyboard overlay,鍵盤覆蓋片,,,
293,keyboard page printer,鍵盤頁式列印機,,,
294,keyboard paper tape punch and verifier,鍵盤紙帶打孔和驗孔器,,,
295,keyboard paper tape punch,鍵盤紙帶打孔機,,,
296,keyboard perforator,鍵盤打孔機,,,
297,keyboard printer,鍵盤列印機,鍵盤打印機 ,,
298,keyboard printer control,鍵盤列印機控制,,,
299,keyboard program,鍵盤程式,,,
300,keyboard programmable RAM,鍵盤可程式化隨機存取記憶體,,,
301,keyboard punch,鍵盤打孔,鍵盤穿孔機,,
302,keyboard puncher,鍵盤打孔機,,,
303,keyboard request control,鍵盤請求控制,,,
304,keyboard scan,鍵盤掃瞄,,,
305,keyboard selection,鍵盤選擇,,,
306,keyboard send/receive set,鍵盤收發裝置,,,
307,keyboard send/receive terminal,鍵盤收發終端機；鍵盤收發終端,,,
308,keyboard send/receive,鍵盤發送接收；鍵盤收發,,,
309,keyboard send/receiver,鍵盤收發器,,,
310,keyboard subsystem,鍵盤子系統,,,
311,keyboard switch,鍵盤開關,,,
312,keyboard tape punch,鍵盤紙帶打孔機,,,
313,keyboard template,鍵盤模板,,,
314,keyboard time out,鍵盤逾時,,,
315,keyboard to disk system,鍵盤至磁碟系統,,,
316,keyboard to tape system,鍵盤至磁帶系統,,,
317,keyboard transmitter,鍵盤發送器,,,
318,keyboard types,鍵盤型式,,,
319,keyboarding,鍵盤輸入,,,
320,keydial,按鍵撥號,,,
321,keyed,鍵控的,,,
322,keyed access,鍵控存取,,,
323,keyed access method,鍵控存取方法,,,
324,keyed address,鍵控位址,,,
325,keyed attribute,鍵屬性,,,
326,keyed data set,鍵控資料集,,,
327,keyed direct access,鍵控直接存取,,,
328,keyed display console,鍵控顯示控制台,,,
329,keyed file,鍵控檔,,,
330,keyed file file access system,鍵控檔檔案存取系統,,,
331,keyed indexed sequential search,鍵索引順序搜尋,,,
332,keyed option,鍵控選項,,,
333,keyed record access,鍵式記錄存取,,,
334,keyed sequence,鍵控順序,,,
335,keyed sequence access path,鍵序存取路徑,,,
336,keyed sequenced data set,鍵序資料集,,,
337,keyed sequential access,鍵序存取,,,
338,keyed sequential access method,鍵序存取法,,,
339,key-element,鍵元素；鍵元件,鍵元 ,,
340,key-element set,鍵元素集,鍵元集 ,,
341,key-element string,鍵元素串,鍵元串 ,,
342,key-encryption key,密鑰加密密鑰,密鑰加密密鑰 ,,
343,keyhole bubble generator,鑰孔磁泡產生器,,,
344,keying,按鍵；鍵發；鍵控,,,
345,keying chirps,按鍵聲,,,
346,keying device,按鍵裝置,,,
347,keying error rate,按鍵錯誤率,,,
348,keying relationship,按鍵關係,,,
349,keying signal,按鍵信號,,,
350,keying switching station,按鍵交換站,,,
351,keying unit,按鍵單元,,,
352,keying wave,按鍵波,,,
353,keymat,鍵墊,,,
354,keypad,小鍵盤,小鍵盤 ,,
355,keypunch,鍵打孔；鍵打孔機；打孔機；按鍵打孔,鍵控穿孔機,,
356,keypunch error,打孔錯誤,,,
357,keypunch machine,鍵打孔機；打孔機,,,
358,keypunch operator,鍵打孔操作員；打孔操作員；鍵打孔員,,,
359,keypunch replacement,打孔替換,,,
360,keypuncher,打孔員,,,
361,keysets,轉接板,,,
362,keystroke verification,擊鍵驗證,擊鍵驗証 ,,
363,keyway,鍵槽,,,
364,keyword,關鍵字；保留字,關鍵詞, *關鍵字 ,,
365,keyword and context index,關鍵字和上下文索引,,,
366,keyword and context,關鍵字和上下文,,,
367,keyword and UDC index,關鍵字和UDC索引；關鍵字和國際十進制分類法索引,,,
368,keyword approach,關鍵字途徑,,,
369,keyword count program,關鍵字計數程式,,,
370,keyword format,關鍵字格式,,,
371,keyword from title index,標題關鍵字索引,,,
372,keyword identifier,關鍵字識別符,,,
373,keyword in context,上下文中關鍵字,上下文內關鍵字 ,,
374,keyword in context index,上下文中索引關鍵字,,,
375,keyword in context indexing,上下文中關鍵字索引,,,
376,keyword in context,上下文中關鍵字,,,
377,keyword in title,標題內關鍵字,,,
378,keyword index,關鍵字索引,,,
379,keyword indexing simulator,關鍵字索引模擬器,,,
380,keyword item,關鍵字項,,,
381,keyword macro,關鍵字巨集,,,
382,keyword macro argument,關鍵字巨集引數,,,
383,keyword macro instruction,關鍵字巨集指令,,,
384,keyword matching,關鍵字匹配,,,
385,keyword operand,關鍵字運算元,,,
386,keyword out context,上下文外關鍵字,,,
387,keyword out of context,上下文外關鍵字,上下文外關鍵字 ,,
388,keyword out of context index,上下文外關鍵字索引,,,
389,keyword out of title,標題外關鍵字,,,
390,keyword parameter,關鍵字參數,,,
391,keyword root,關鍵字根,,,
392,keyword rule,關鍵字規則,,,
393,keyword system,關鍵字系統,,,
394,keyword transformation unit,關鍵字變換單元,,,
395,KIF,知識資訊格式,知識信息格式 ,,
396,kill,取消；殺,,,
397,killer,斷路器；刪除程式,,,
398,kilo,千,千 ,,
399,Kilo,千,千 ,,
400,kilo electron volts,千電子伏,,,
401,kilo instructions per second,每秒千指令,,,
402,kilo operations per second,每秒千運算,,,
403,kilo volt-ampere,千伏安培,,,
404,kilo,千,,,
405,kilobaud,千鮑,,,
406,kilobit,千位元；千比,千位 ,,
407,kilobit per second,每秒千比,,,
408,kilobits per second,每秒千比,千位每秒 ,,
409,kilobyte,千位元組；千拜,千字節 ,,
410,kilobytes per second,每秒千位元組,千字節每秒 ,,
411,kilobytes per second,每秒千位元組,,,
412,kilobytes,千位元組；千拜,,,
413,kilocharacter,千字符,,,
414,kilocharacters per second,每秒千字符,,,
415,kilocycle,千週,,,
416,kilocycles per second,每秒千週,,,
417,kilogram,千克,,,
418,kilohertz,千赫,,,
419,kilomega,十億,,,
420,kilomegabit,十億比,,,
421,kilomegacycle,十億比,,,
422,kilomegacycle per second,每秒十億週,,,
423,kilowatts,千瓦,,,
424,kiloword,千字,,,
425,kinematic operator,動力運算子,,,
426,kinetic,動力,,,
427,kinetic control system,動力控制系統,,,
428,kinetic energy,動能,,,
429,kinetic energy operator,動能運算子,,,
430,kinetic filter,動力濾波器,,,
431,Kipp relay,企普替續器,,,
432,Kirchhoff adder,克希荷夫加法器,,,
433,Kirchhoff's laws,克希荷夫定律,,,
434,kit,套件,,,
435,kit assembler,套件組譯器,,,
436,kit hardware and software system,套件硬體和軟體系統,,,
437,kit processor card,套件處理機卡,,,
438,kit software,套件軟體,,,
439,Kleene closure,克林閉包,克林閉包 ,,
440,kludge,拙集,,,
441,KMP algorithm,KMP演算法,KMP算法 ,,
442,knapsack problem,背包問題,背包問題 ,,
443,kneetop,膝上型,,,
444,knob,鈕,,,
445,knot,結點,,,
446,knot complexity,結點複雜性,,,
447,knot interpolation,結點內插值,節點插值 ,,
448,knot removal,結點刪除,節點刪除 ,,
449,know-how,技術訣竅；技術,,,
450,knowledge,知識,知識 ,,
451,knowledge acquisition,知識獲取,知識獲取 ,,
452,knowledge acquisition and utilization system,知識獲取和利用系統,,,
453,knowledge acquisition system,知識獲取系統,,,
454,knowledge agent,知識代理,知識主體 ,,
455,knowledge analysis,知識分析,,,
456,knowledge assimilation,知識同化,知識同化 ,,
457,knowledge bank,知識庫,知識庫,,
458,knowledge base,知識庫,知識庫 ,,
459,knowledge base compiler,知識庫編譯器,,,
460,knowledge base debugger,知識庫除錯器,,,
461,knowledge base machine,知識庫機,知識庫機 ,,
462,knowledge base management,知識庫管理,,,
463,knowledge base management system,知識庫管理系統,知識庫管理系統 ,,
464,knowledge base system,知識庫系統,知識庫系統 ,,
465,knowledge based consultation system,知識為本的諮詢系統,,,
466,knowledge based expert system,知識為本的專家系統,,,
467,knowledge based intelligent activity,知識為本的智慧活動,,,
468,knowledge based program editing,知識為本的程式編輯,,,
469,knowledge based programming system,知識為本的程式設計系統,,,
470,knowledge based system,知識為本的系統,,,
471,knowledge compilation,知識編譯,知識編譯 ,,
472,knowledge complexity,知識複雜性,知識復雜性 ,,
473,knowledge concentrated industry,知識密集型產業,知識密集型產業 ,,
474,knowledge database,知識資料庫,,,
475,knowledge database system,知識資料庫系統,,,
476,knowledge directed database,知識導向資料庫,,,
477,knowledge discovery,知識發現,知識發現 ,,
478,knowledge discovery in database,資料庫知識發現,數據庫知識發現 ,,
479,knowledge domain,知識域,,,
480,knowledge editor,知識編輯器,知識編輯器 ,,
481,knowledge elicitation,知識引出；知識淬取,,,
482,knowledge engineer,知識工程師,知識工程師 ,,
483,knowledge engineering,知識工程,知識工程 ,,
484,knowledge engineering objective,知識工程目標,,,
485,knowledge engineering system,知識工程系統,,,
486,knowledge engineering tool,知識工程工具,,,
487,knowledge extraction,知識萃取,知識提取 ,,
488,knowledge extractor,知識萃取器,知識提取器 ,,
489,knowledge factory,知識工廠,,,
490,knowledge image coding,知識影像編碼,知識圖像編碼 ,,
491,knowledge industry,知識工業,知識產業 ,,
492,knowledge information,知識資訊,,,
493,knowledge information format,知識資訊格式,知識信息格式 ,,
494,knowledge information processing,知識資訊處理,知識信息處理 ,,
495,knowledge information processing system,知識資訊處理系統,知識信息處理系統 ,,
496,knowledge integration,知識整合,,,
497,knowledge interactive proof system,知識交互式證明系統,知識交互式証明系統 ,,
498,knowledge language one,知識語言一號,,,
499,knowledge library expert system,知識館專家系統,,,
500,knowledge management,知識管理,,,
501,knowledge manipulation system,知識調處系統,,,
502,knowledge model,知識模型,知識模型 ,,
503,knowledge network,知識網路,,,
504,knowledge of programming,程式設計的知識,,,
505,knowledge operationalization,知識操作化,知識操作化 ,,
506,knowledge organization,知識組織,知識組織 ,,
507,knowledge oriented approach,知識導向方式,,,
508,knowledge processing,知識處理,知識處理 ,,
509,knowledge processing system,知識處理系統,,,
510,knowledge proof,知識證明,知識証明 ,,
511,knowledge query manipulation language,知識查詢調處語言,知識查詢操縱語言 ,,
512,knowledge reasoning,知識推理,知識推理 ,,
513,knowledge redundancy,知識冗餘,知識冗余 ,,
514,knowledge refinement,知識精化,知識精化 ,,
515,knowledge representation,知識表示,知識表示 ,,
516,knowledge representation language,知識表示語言,,,
517,knowledge representation mode,知識表示模式,知識表示方式 ,,
518,knowledge representation paradigm,知識表示範例,,,
519,knowledge representation system,知識表示系統,,,
520,knowledge representation,知識表示,,,
521,knowledge resource,知識資源,,,
522,knowledge restructuring,知識重構,,,
523,knowledge schema,知識綱目,知識模式 ,,
524,knowledge source,知識源,知識源 ,,
525,knowledge structure,知識結構,知識結構 ,,
526,knowledge subsystem,知識子系統,知識子系統 ,,
527,knowledge system,知識系統,,,
528,knowledge utilization,知識利用,,,
529,knowledge utilization system,知識利用系統,知識利用系統 ,,
530,knowledge-based consultation system,知識為本的諮詢系統,基于知識的咨詢系統 ,,
531,knowledge-based inference,知識為主的推理,基于知識[的]推理 ,,
532,knowledge-based inference system,知識為主的推理系統,基于知識[的]推理系統 ,,
533,knowledge-based machine translation,知識為主的機器翻譯,基于知識的機器翻譯 ,,
534,knowledge-based question answering system,知識為本的問答系統,基于知識的問答系統 ,,
535,knowledge-based simulation system,知識為主的模擬系統,基于知識的仿真系統 ,,
536,knowledge-directed data base,知識導向資料庫,知識引導數據庫 ,,
537,knowledge-oriented architecture,知識導向架構,面向知識體系結構 ,,
538,knowledgeware,知識體,,,
539,known,已知,,,
540,known address,已知位址,,,
541,known component,已知組件,,,
542,known lines,已知線,,,
543,known segment,已知段,,,
544,known segment table,已知段表,,,
545,known state,已知狀態,,,
546,known-plain text attack,已知明文攻擊,已知明文攻擊 ,,
547,Knuth Morris Pratt algorithm,KMP演算法；流圖構造演算法,,,
548,Kolmogrov complexity,Kolmogrov復雜性,科爾莫戈羅夫復雜性 ,,
549,Konigsberg bridge problem,哥尼斯堡橋接問題,,,
550,Korean,韓文,朝鮮文 ,,
551,k-out-of-n code,n中取k碼,,,
552,KQML,知識查詢調處語言,知識查詢操縱語言 ,,
553,KR,知識表示,知識表示 ,,
554,Kraft inequality,克拉夫不等式,,,
555,KRONOS,KRONOS作業系統,,,
556,Kronrod bit matrices,Kronrod位元矩陣,,,
557,Kuck classification,庫克分類,,,
558,Kuck classification schema,庫克分類綱目,,,
559,Kurzwell reading machine,克茲威爾閱讀機,,,
560,K-word,千字,,,
